PPMXL,RAJ2000[deg],DEJ2000[deg],pmRA[mas/yr],pmDE[mas/yr],e_pmRA[mas/yr],e_pmDE[mas/yr],Jmag[mag],e_Jmag[mag],Kmag[mag],e_Kmag[mag],Chi_squared
407352000000000000,46.030137,49.9199,25.9,-36.4,5.4,5.4,15.317,0.051,14.351,0.053,3.604657272351595
407354000000000000,46.127202,49.88984,15.2,-25.7,5.4,5.4,15.26,0.048,14.299,0.059,1.9168404443707239
407365000000000000,46.465474,49.968759,28.5,-28.1,4.0,4.0,12.137,0.023,11.284,0.022,2.136949676222854
407411000000000000,46.474152,49.918874,24.0,-24.0,4.0,4.0,13.658,0.037,13.018,0.033,0.47206060098689206
407411000000000000,46.513596,49.886816,19.7,-23.6,4.0,4.0,13.365,0.023,12.475,0.027,1.0528747057775376
407412000000000000,46.570102,49.922558,25.2,-33.4,4.0,4.0,14.514,0.03,13.583,0.036,3.19596898479347
407512000000000000,46.824701,49.923297,20.5,-32.7,4.0,4.0,14.453,0.037,13.44,0.027,2.582463206890125
407521000000000000,47.077965,49.981349,13.6,-24.0,4.0,4.0,14.69,0.035,13.805,0.04,5.348608277856913
407522000000000000,47.163112,49.950293,13.2,-25.0,4.0,4.0,13.587,0.03,13.05,0.03,5.554064705229447
407534000000000000,47.27576,49.876111,23.9,-29.6,4.9,4.9,10.473,0.023,9.685,0.02,0.4406871094333727
407561000000000000,47.421534,49.980526,21.4,-19.7,4.0,4.0,10.891,0.021,10.483,0.017,2.8721543832318863
412081000000000000,48.206935,49.912562,16.8,-16.1,5.4,5.4,14.648,0.08,14.052,0.084,4.796796546225622
412084000000000000,48.220932,49.850213,18.3,-23.1,4.0,4.0,13.748,0.027,12.785,0.024,1.8644395251666024
412081000000000000,48.228824,49.886216,26.7,-27.2,4.0,4.0,12.941,0.022,12.014,0.021,0.9686399568083096
412084000000000000,48.292208,49.818756,28.9,-19.6,4.0,4.0,14.228,0.03,13.382,0.037,5.119527940716805
412086000000000000,48.339361,49.902908,15.5,-27.4,5.4,5.4,14.514,0.033,13.624,0.036,1.7734040863457368
412087000000000000,48.381893,49.907277,23.5,-28.7,5.4,5.4,14.751,0.052,14.18,0.078,0.1800975147708877
412090000000000000,48.449784,49.981191,19.5,-15.9,5.4,5.4,15.237,0.046,14.131,0.055,4.110761700573963
412093000000000000,48.491696,49.951271,19.6,-16.9,5.3,5.3,14.771,0.036,13.919,0.043,3.540364567935482
412094000000000000,48.50502,49.874322,27.2,-27.4,4.0,4.0,13.25,0.022,12.374,0.026,1.2392411050550605
412108000000000000,48.780398,49.845898,19.0,-25.2,4.1,4.1,13.536,0.024,12.629,0.022,0.8893920277235957
412110000000000000,48.901277,49.812866,17.0,-27.1,5.5,5.5,13.368,0.024,12.443,0.024,1.0699172661550924
412110000000000000,48.901314,49.812866,25.6,-23.4,4.0,4.0,13.368,0.024,12.443,0.024,1.0683853536047334
412113000000000000,48.944536,49.802629,20.3,-18.7,4.0,4.0,11.646,0.02,10.799,0.02,3.991068654950595
412137000000000000,49.076128,49.801853,28.6,-28.0,4.0,4.0,10.729,0.02,10.051,0.022,2.1880155013770035
412140000000000000,49.207098,49.815897,12.5,-24.7,4.2,4.2,15.484,0.067,14.745,0.105,5.864852829936908
412145000000000000,49.281464,49.97781,15.2,-28.0,10.0,10.0,11.232,0.02,10.528,0.016,0.5847502367416243
412147000000000000,49.300287,49.83524,23.2,-17.7,4.0,4.0,14.932,0.037,13.997,0.053,4.643470365097524
412149000000000000,49.408244,49.913395,19.7,-23.4,4.0,4.0,11.451,0.02,10.517,0.017,1.1247009364850096
412195000000000000,49.437928,49.754154,27.1,-34.7,4.1,4.1,14.607,0.049,13.924,0.054,4.903805694863741
412197000000000000,49.523238,49.791584,35.8,-26.2,5.3,5.4,14.406,0.034,13.581,0.046,5.9238023487601685
412197000000000000,49.555075,49.773318,35.2,-21.8,5.6,5.6,15.278,0.056,14.689,0.099,5.531450343339129
412294000000000000,49.752034,49.940965,28.6,-17.2,5.4,5.4,14.033,0.026,13.305,0.03,4.048200455880867
412301000000000000,49.932762,49.936952,17.0,-22.8,4.1,4.1,12.012,0.02,11.16,0.018,2.6516731918764074
412304000000000000,49.956034,49.881125,32.7,-29.0,4.1,4.1,15.015,0.038,13.985,0.053,6.0093855985436955
412303000000000000,49.973749,49.954329,31.7,-23.2,4.1,4.1,13.348,0.024,12.606,0.027,5.202223494683468
412304000000000000,49.990341,49.868517,17.4,-29.7,5.2,5.2,10.483,0.022,9.917,0.018,1.387815934905724
412321000000000000,50.325746,49.786091,13.2,-25.5,5.2,5.2,15.138,0.036,14.148,0.051,3.303314844568527
412346000000000000,50.408138,49.903728,24.8,-39.0,5.3,5.3,15.365,0.067,14.414,0.076,5.555290162131184
412345000000000000,50.428612,49.810151,16.9,-34.2,5.2,5.2,14.605,0.035,13.554,0.034,3.349497445590141
412340000000000000,50.456295,49.973932,4.1,-28.0,8.0,8.0,11.84,0.023,11.316,0.023,5.393492194619667
412348000000000000,50.481794,49.755907,21.4,-17.1,4.1,4.1,15.358,0.059,14.839,0.102,5.1396263208082384
412347000000000000,50.566614,49.864025,29.1,-14.0,5.6,5.6,15.188,0.054,14.914,0.137,6.135135995240146
412355000000000000,50.664179,49.959785,18.0,-24.9,5.5,5.5,14.736,0.038,13.698,0.047,0.8049933561243452
412355000000000000,50.670875,49.938379,26.9,-24.9,4.1,4.1,13.735,0.026,12.864,0.029,1.137049210182683
412357000000000000,50.73954,49.816035,16.9,-19.4,4.1,4.1,14.771,0.04,14.167,0.068,4.8109342514415845
412358000000000000,50.743462,49.779858,13.8,-28.0,4.1,4.1,12.955,0.023,12.2,0.022,4.664343051530135
412352000000000000,50.749549,49.758297,17.1,-21.9,4.2,4.2,15.371,0.057,14.279,0.064,2.8772442299319865
412546000000000000,50.896101,49.757963,21.2,-23.7,4.1,4.1,15.109,0.043,14.216,0.061,0.5825520626915643
412735000000000000,50.939752,49.906336,24.9,-15.8,8.0,8.0,7.24,0.021,6.072,0.017,1.8438551817969187
412548000000000000,50.947823,49.794222,21.4,-23.7,4.1,4.1,14.635,0.038,14.093,0.063,0.5500015322764453
412737000000000000,50.999521,49.967139,19.6,-24.3,4.1,4.1,11.293,0.021,10.506,0.018,0.8354446451474886
412549000000000000,51.023527,49.797758,14.2,-16.4,9.6,9.6,13.106,0.023,12.627,0.026,1.8829956601657245
412549000000000000,51.06581,49.75925,7.5,-16.6,9.6,9.6,13.139,0.021,13.0,0.029,3.5530723606269285
412745000000000000,51.220256,49.923666,30.6,-15.5,5.5,5.5,12.074,0.019,11.329,0.021,5.905874950036718
412933000000000000,51.298595,49.863948,14.5,-35.2,5.6,5.6,14.99,0.045,14.487,0.082,4.459435125266549
412747000000000000,51.322767,49.98498,24.0,-36.8,4.1,4.1,14.65,0.034,13.611,0.045,6.117280363695901
412936000000000000,51.439979,49.965146,19.7,-20.0,4.2,4.2,15.463,0.062,14.596,0.092,2.8018204260613646
412937000000000000,51.449881,49.776341,25.3,-27.4,4.1,4.1,14.02,0.028,13.081,0.029,0.42093754105006276
